"Module 1","Module 2","Count","Semester"
"SP4261","ST1232",0,2010
"ESP2107","ST1232",0,2010
"DSA1101","ST2131.MA2216",3,2010
"DSA2101","ST2131.MA2216",0,2010
"DSA3101","ST2131.MA2216",0,2010
"DSA4211","ST2131.MA2216",0,2010
"DSA4264","ST2131.MA2216",0,2010
"ST1131","ST2131.MA2216",2,2010
"ST1232","ST2131.MA2216",0,2010
"ST2131&MA2216","ST2131.MA2216",142,2010
"ST2132","ST2131.MA2216",1,2010
"ST2137","ST2131.MA2216",3,2010
"ST2334","ST2131.MA2216",0,2010
"ST3131","ST2131.MA2216",2,2010
"ST3233","ST2131.MA2216",1,2010
"ST3236&MA3238","ST2131.MA2216",0,2010
"ST3240","ST2131.MA2216",0,2010
"ST3242","ST2131.MA2216",0,2010
"ST3248","ST2131.MA2216",0,2010
"ST4231","ST2131.MA2216",0,2010
"ST4233","ST2131.MA2216",0,2010
"ST4241","ST2131.MA2216",0,2010
"ST4245","ST2131.MA2216",0,2010
"SP4261","ST2131.MA2216",1,2010
"ESP2107","ST2131.MA2216",0,2010
"DSA1101","ST2132",0,2010
"DSA2101","ST2132",70,2010
"DSA3101","ST2132",0,2010
"DSA4211","ST2132",0,2010
"DSA4264","ST2132",0,2010
"ST1131","ST2132",3,2010
"ST1232","ST2132",0,2010
"ST2131&MA2216","ST2132",1,2010
"ST2132","ST2132",223,2010
"ST2137","ST2132",11,2010
"ST2334","ST2132",0,2010
"ST3131","ST2132",37,2010
"ST3233","ST2132",2,2010
"ST3236&MA3238","ST2132",9,2010
"ST3240","ST2132",3,2010
"ST3242","ST2132",0,2010
"ST3248","ST2132",5,2010
"ST4231","ST2132",0,2010
"ST4233","ST2132",0,2010
"ST4241","ST2132",0,2010
"ST4245","ST2132",1,2010
"SP4261","ST2132",0,2010
"ESP2107","ST2132",0,2010
"DSA1101","ST2137",0,2010
"DSA2101","ST2137",0,2010
"DSA3101","ST2137",1,2010
"DSA4211","ST2137",0,2010
"DSA4264","ST2137",0,2010
"ST1131","ST2137",6,2010
"ST1232","ST2137",0,2010
"ST2131&MA2216","ST2137",3,2010
"ST2132","ST2137",11,2010
"ST2137","ST2137",55,2010
"ST2334","ST2137",0,2010
"ST3131","ST2137",13,2010
"ST3233","ST2137",1,2010
"ST3236&MA3238","ST2137",4,2010
"ST3240","ST2137",3,2010
"ST3242","ST2137",0,2010
"ST3248","ST2137",3,2010
"ST4231","ST2137",1,2010
"ST4233","ST2137",2,2010
"ST4241","ST2137",0,2010
"ST4245","ST2137",3,2010
"SP4261","ST2137",0,2010
"ESP2107","ST2137",0,2010
"DSA1101","ST2334",0,2010
"DSA2101","ST2334",0,2010
"DSA3101","ST2334",0,2010
"DSA4211","ST2334",0,2010
"DSA4264","ST2334",0,2010
"ST1131","ST2334",0,2010
"ST1232","ST2334",0,2010
"ST2131&MA2216","ST2334",0,2010
"ST2132","ST2334",0,2010
"ST2137","ST2334",0,2010
"ST2334","ST2334",811,2010
"ST3131","ST2334",0,2010
"ST3233","ST2334",0,2010
"ST3236&MA3238","ST2334",0,2010
"ST3240","ST2334",0,2010
"ST3242","ST2334",0,2010
"ST3248","ST2334",0,2010
"ST4231","ST2334",0,2010
"ST4233","ST2334",0,2010
"ST4241","ST2334",0,2010
"ST4245","ST2334",1,2010
"SP4261","ST2334",0,2010
"ESP2107","ST2334",1,2010
"DSA1101","ST3131",1,2010
"DSA2101","ST3131",35,2010
"DSA3101","ST3131",7,2010
"DSA4211","ST3131",1,2010
"DSA4264","ST3131",0,2010
"ST1131","ST3131",3,2010
"ST1232","ST3131",0,2010
"ST2131&MA2216","ST3131",2,2010
"ST2132","ST3131",37,2010
"ST2137","ST3131",13,2010
"ST2334","ST3131",0,2010
"ST3131","ST3131",126,2010
"ST3233","ST3131",3,2010
"ST3236&MA3238","ST3131",9,2010
"ST3240","ST3131",0,2010
"ST3242","ST3131",1,2010
"ST3248","ST3131",3,2010
"ST4231","ST3131",3,2010
"ST4233","ST3131",0,2010
"ST4241","ST3131",1,2010
"ST4245","ST3131",0,2010
"SP4261","ST3131",1,2010
"ESP2107","ST3131",0,2010
"DSA1101","ST3233",0,2010
"DSA2101","ST3233",0,2010
"DSA3101","ST3233",28,2010
"DSA4211","ST3233",14,2010
"DSA4264","ST3233",2,2010
"ST1131","ST3233",0,2010
"ST1232","ST3233",0,2010
"ST2131&MA2216","ST3233",1,2010
"ST2132","ST3233",2,2010
"ST2137","ST3233",1,2010
"ST2334","ST3233",0,2010
"ST3131","ST3233",3,2010
"ST3233","ST3233",78,2010
"ST3236&MA3238","ST3233",3,2010
"ST3240","ST3233",6,2010
"ST3242","ST3233",7,2010
"ST3248","ST3233",20,2010
"ST4231","ST3233",22,2010
"ST4233","ST3233",7,2010
"ST4241","ST3233",2,2010
"ST4245","ST3233",5,2010
"SP4261","ST3233",0,2010
"ESP2107","ST3233",0,2010
"DSA1101","ST3236.MA3238",0,2010
"DSA2101","ST3236.MA3238",0,2010
"DSA3101","ST3236.MA3238",0,2010
"DSA4211","ST3236.MA3238",0,2010
"DSA4264","ST3236.MA3238",0,2010
"ST1131","ST3236.MA3238",3,2010
"ST1232","ST3236.MA3238",0,2010
"ST2131&MA2216","ST3236.MA3238",0,2010
"ST2132","ST3236.MA3238",9,2010
"ST2137","ST3236.MA3238",4,2010
"ST2334","ST3236.MA3238",0,2010
"ST3131","ST3236.MA3238",9,2010
"ST3233","ST3236.MA3238",3,2010
"ST3236&MA3238","ST3236.MA3238",63,2010
"ST3240","ST3236.MA3238",11,2010
"ST3242","ST3236.MA3238",4,2010
"ST3248","ST3236.MA3238",11,2010
"ST4231","ST3236.MA3238",13,2010
"ST4233","ST3236.MA3238",2,2010
"ST4241","ST3236.MA3238",1,2010
"ST4245","ST3236.MA3238",5,2010
"SP4261","ST3236.MA3238",0,2010
"ESP2107","ST3236.MA3238",0,2010
"DSA1101","ST3240",0,2010
"DSA2101","ST3240",0,2010
"DSA3101","ST3240",4,2010
"DSA4211","ST3240",5,2010
"DSA4264","ST3240",0,2010
"ST1131","ST3240",5,2010
"ST1232","ST3240",0,2010
"ST2131&MA2216","ST3240",0,2010
"ST2132","ST3240",3,2010
"ST2137","ST3240",3,2010
